song name,artist,wav file location
Cake,Melanie Martinez,downloads/Cake - Melanie Martinez.wav
Roses,JaeHyun,downloads/Roses - JaeHyun.wav
Let Down,Radiohead,downloads/Let Down - Radiohead.wav
Chill Kill,Red Velvet,downloads/Chill Kill - Red Velvet.wav
Fuck the World (Summer in London),Brent Faiyaz,downloads/Fuck the World (Summer in London) - Brent Faiyaz.wav
No Bap,Lucki,downloads/No Bap - Lucki.wav
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship,downloads/Good Girls Go Bad (feat. Leighton Meester) - Cobra Starship.wav
Lost,Linkin Park,downloads/Lost - Linkin Park.wav
Unravel,TK from Ling tosite sigure,downloads/Unravel - TK from Ling tosite sigure.wav
Sharpest Tool,Sabrina Carpenter,downloads/Sharpest Tool - Sabrina Carpenter.wav
CUPID'S GIRL,Marina,downloads/CUPID'S GIRL - Marina.wav
Honey Water,Japanese Breakfast,downloads/Honey Water - Japanese Breakfast.wav
Stargazing,Myles Smith,downloads/Stargazing - Myles Smith.wav
Mr. Forgettable,David Kushner,downloads/Mr. Forgettable - David Kushner.wav
TOlD YOU SO,Paramore,downloads/TOlD YOU SO - Paramore.wav
Make It Make Sense,A Day to Remember,downloads/Make It Make Sense - A Day to Remember.wav
Younger Than You,Whirr,downloads/Younger Than You - Whirr.wav
Born This Way,Lady Gaga,downloads/Born This Way - Lady Gaga.wav
FAKE LOVE,BTS,downloads/FAKE LOVE - BTS.wav
I WANNA BE YOUR SLAVE,Måneskin,downloads/I WANNA BE YOUR SLAVE - Måneskin.wav
Bubblegum Bitch,Marina,downloads/Bubblegum Bitch - Marina.wav
bonfire,wave to earth,downloads/bonfire - wave to earth.wav
Protect Ya Neck,Wu-Tang Clan,downloads/Protect Ya Neck - Wu-Tang Clan.wav
I Say a Little Prayer,Aretha Franklin,downloads/I Say a Little Prayer - Aretha Franklin.wav
Verbatim,Mother Mother,downloads/Verbatim - Mother Mother.wav
Two®,LIL UZI VERT,downloads/Two® - LIL UZI VERT.wav
Gamesofluck,Parcels,downloads/Gamesofluck - Parcels.wav
LONE DIGGER,Caravan Palace,downloads/LONE DIGGER - Caravan Palace.wav
Only Shallow,My Bloody Valentine,downloads/Only Shallow - My Bloody Valentine.wav
Wake Me Up When September Ends,Green Day,downloads/Wake Me Up When September Ends - Green Day.wav
Young Blood,The Naked and Famous,downloads/Young Blood - The Naked and Famous.wav
People Are Strange,The Doors,downloads/People Are Strange - The Doors.wav
Disenchanted,My Chemical Romance,downloads/Disenchanted - My Chemical Romance.wav
Dark night castle,Jane Remover,downloads/Dark night castle - Jane Remover.wav
Safeword,Halsey,downloads/Safeword - Halsey.wav
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,downloads/Lose Yourself to Dance (feat. Pharrell Williams) - Daft Punk.wav
Dragula,Rob Zombie,downloads/Dragula - Rob Zombie.wav
Pork Soda,Glass Animals,downloads/Pork Soda - Glass Animals.wav
PUNK TACTICS,Joey Valence & Brae,downloads/PUNK TACTICS - Joey Valence & Brae.wav
Across The Universe,Remastered 2009 - The Beatles,downloads/Across The Universe - Remastered 2009 - The Beatles.wav
Morning Bell,Radiohead,downloads/Morning Bell - Radiohead.wav
Somedays,Sonny Fodera,downloads/Somedays - Sonny Fodera.wav
All Time Low,Jon Bellion,downloads/All Time Low - Jon Bellion.wav
Deutschland,Rammstein,downloads/Deutschland - Rammstein.wav
a m a r i,J. Cole,downloads/a m a r i - J. Cole.wav
One Beer,MF DOOM,downloads/One Beer - MF DOOM.wav
Love Yourz,J. Cole,downloads/Love Yourz - J. Cole.wav
Solar Power,Lorde,downloads/Solar Power - Lorde.wav
Sweden,C418,downloads/Sweden - C418.wav
Sex on the Beach,PARTYNEXTDOOR,downloads/Sex on the Beach - PARTYNEXTDOOR.wav
Glue,Bicep,downloads/Glue - Bicep.wav
Shouldn't Be,Luke Chiang,downloads/Shouldn't Be - Luke Chiang.wav
You Lose!,MAGDALENA BAY,downloads/You Lose! - MAGDALENA BAY.wav
22 (Taylor's Version),Taylor Swift,downloads/22 (Taylor's Version) - Taylor Swift.wav
Black&Blue,Vince Staples,downloads/Black&Blue - Vince Staples.wav
VETERAN (feat. Ken Carson),Destroy Lonely,downloads/VETERAN (feat. Ken Carson) - Destroy Lonely.wav
Shut up My Moms Calling (Sped up),Hotel Ugly,downloads/Shut up My Moms Calling (Sped up) - Hotel Ugly.wav
I Sat by the Ocean,Queens of the Stone Age,downloads/I Sat by the Ocean - Queens of the Stone Age.wav
Ex-Factor,Ms. Lauryn Hill,downloads/Ex-Factor - Ms. Lauryn Hill.wav
Spotlight,Marshmello,downloads/Spotlight - Marshmello.wav
Accordion,Madvillain,downloads/Accordion - Madvillain.wav
DIGITAL SILENCE,Peter McPoland,downloads/DIGITAL SILENCE - Peter McPoland.wav
Murder In My Mind,Kordhell,downloads/Murder In My Mind - Kordhell.wav
PELIGROSA,FloyyMenor,downloads/PELIGROSA - FloyyMenor.wav
In The End,Black Veil Brides,downloads/In The End - Black Veil Brides.wav
Read My Mind,The Killers,downloads/Read My Mind - The Killers.wav
drifting,Night Tapes,downloads/drifting - Night Tapes.wav
Disparate Youth,Santigold,downloads/Disparate Youth - Santigold.wav
Chlorine,Twenty One Pilots,downloads/Chlorine - Twenty One Pilots.wav
Pedro,Jaxomy,downloads/Pedro - Jaxomy.wav
Make U Cum,Ayesha Erotica,downloads/Make U Cum - Ayesha Erotica.wav
King Kunta,Kendrick Lamar,downloads/King Kunta - Kendrick Lamar.wav
Run For The Hills,Tate McRae,downloads/Run For The Hills - Tate McRae.wav
Hot n Cold,Katy Perry,downloads/Hot n Cold - Katy Perry.wav
R.I.P. SCREW,Travis Scott,downloads/R.I.P. SCREW - Travis Scott.wav
House of Cards,Radiohead,downloads/House of Cards - Radiohead.wav
Vent,Baby Keem,downloads/Vent - Baby Keem.wav
Moves Like Jagger,"Studio Recording From ""The Voice"" Performance - Maroon 5","downloads/Moves Like Jagger - Studio Recording From ""The Voice"" Performance - Maroon 5.wav"
hype boy,NewJeans,downloads/hype boy - NewJeans.wav
Smile Like You Mean It,The Killers,downloads/Smile Like You Mean It - The Killers.wav
Black Skinhead,Kanye West,downloads/Black Skinhead - Kanye West.wav
Lugar ao Sol,Charlie Brown JR.,downloads/Lugar ao Sol - Charlie Brown JR..wav
Jar of Hearts,Christina Perri,downloads/Jar of Hearts - Christina Perri.wav
Beat It,Michael Jackson,downloads/Beat It - Michael Jackson.wav
Pass the Dutchie,Musical Youth,downloads/Pass the Dutchie - Musical Youth.wav
Bang Bang Bang Bang,Sohodolls,downloads/Bang Bang Bang Bang - Sohodolls.wav
Sympathy is a knife featuring ariana grande,Charli XCX,downloads/Sympathy is a knife featuring ariana grande - Charli XCX.wav
Reincarnated,Kendrick Lamar,downloads/Reincarnated - Kendrick Lamar.wav
If You’re Too Shy (Let Me Know),The 1975,downloads/If You’re Too Shy (Let Me Know) - The 1975.wav
"Beautiful, Dirty, Rich",Lady Gaga,"downloads/Beautiful, Dirty, Rich - Lady Gaga.wav"
Girls Want Girls (with Lil Baby),Drake,downloads/Girls Want Girls (with Lil Baby) - Drake.wav
SWEET,Cigarettes After Sex,downloads/SWEET - Cigarettes After Sex.wav
Hood Politics,Kendrick Lamar,downloads/Hood Politics - Kendrick Lamar.wav
Flocky Flocky (feat. Travis Scott),Don Toliver,downloads/Flocky Flocky (feat. Travis Scott) - Don Toliver.wav
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,downloads/We Are Never Ever Getting Back Together (Taylor's Version) - Taylor Swift.wav
SOMEONE TO SPEND TIME WITH,Los Retros,downloads/SOMEONE TO SPEND TIME WITH - Los Retros.wav
Started from the Bottom,Drake,downloads/Started from the Bottom - Drake.wav
Time,Pink Floyd,downloads/Time - Pink Floyd.wav
4ÆM,Grimes,downloads/4ÆM - Grimes.wav
Evergreen (You Didn’t Deserve Me At All),omar apollo,downloads/Evergreen (You Didn’t Deserve Me At All) - omar apollo.wav
Lights are On,Tom Rosenthal,downloads/Lights are On - Tom Rosenthal.wav
My Alcoholic Friends,The Dresden Dolls,downloads/My Alcoholic Friends - The Dresden Dolls.wav
BADGRRRL,Lisa,downloads/BADGRRRL - Lisa.wav
Mean girls featuring julian casablancas,Charli XCX,downloads/Mean girls featuring julian casablancas - Charli XCX.wav
Sail,Awolnation,downloads/Sail - Awolnation.wav
Shandy in the Graveyard,Panchiko,downloads/Shandy in the Graveyard - Panchiko.wav
summer depression,Girl In Red,downloads/summer depression - Girl In Red.wav
Sextape,Deftones,downloads/Sextape - Deftones.wav
Whiplash'd,Xavier Wulf,downloads/Whiplash'd - Xavier Wulf.wav
Had Enough (feat. Quavo & Offset),Don Toliver,downloads/Had Enough (feat. Quavo & Offset) - Don Toliver.wav
infinity (888),feat. Joey Bada$$ - xxxtentacion,downloads/infinity (888) - feat. Joey Bada$$ - xxxtentacion.wav
Fade To Black,Remastered - Metallica,downloads/Fade To Black - Remastered - Metallica.wav
Fergalicious,Fergie,downloads/Fergalicious - Fergie.wav
Hey Jude,The Beatles,downloads/Hey Jude - The Beatles.wav
The Greatest Show,Hugh Jackman,downloads/The Greatest Show - Hugh Jackman.wav
Evil Woman,Electric Light Orchestra,downloads/Evil Woman - Electric Light Orchestra.wav
Cirice,Ghost,downloads/Cirice - Ghost.wav
Blackhole,Architects,downloads/Blackhole - Architects.wav
Blow Your Mind (Mwah),Dua Lipa,downloads/Blow Your Mind (Mwah) - Dua Lipa.wav
Where's Your Head At,Basement Jaxx,downloads/Where's Your Head At - Basement Jaxx.wav
Cookie,NewJeans,downloads/Cookie - NewJeans.wav
Sway,triple j Like A Version - beabadoobee,downloads/Sway - triple j Like A Version - beabadoobee.wav
Hex,80purppp,downloads/Hex - 80purppp.wav
Twin Size Mattress,The Front Bottoms,downloads/Twin Size Mattress - The Front Bottoms.wav
Hey Jude,2015 Mix - The Beatles,downloads/Hey Jude - 2015 Mix - The Beatles.wav
drivers license,Olivia Rodrigo,downloads/drivers license - Olivia Rodrigo.wav
Let You Break My Heart Again,Laufey,downloads/Let You Break My Heart Again - Laufey.wav
SMOKE IT OFF!,Lumi Athena,downloads/SMOKE IT OFF! - Lumi Athena.wav
coordinate,Travis Scott,downloads/coordinate - Travis Scott.wav
King Park,La Dispute,downloads/King Park - La Dispute.wav
Roses,Kanye West,downloads/Roses - Kanye West.wav
Por Supuesto,Marina Sena,downloads/Por Supuesto - Marina Sena.wav
Never Going Back Again,2004 Remaster - Fleetwood Mac,downloads/Never Going Back Again - 2004 Remaster - Fleetwood Mac.wav
Morning Dew,Xavier Wulf,downloads/Morning Dew - Xavier Wulf.wav
LIMBO,Keshi,downloads/LIMBO - Keshi.wav
She won't go away,Faye Webster,downloads/She won't go away - Faye Webster.wav
It Ain't Over 'til It's Over,Lenny Kravitz,downloads/It Ain't Over 'til It's Over - Lenny Kravitz.wav
Skin tight (feat. Steve Lacy),Ravyn Lenae,downloads/Skin tight (feat. Steve Lacy) - Ravyn Lenae.wav
Mortal Man,Kendrick Lamar,downloads/Mortal Man - Kendrick Lamar.wav
Better Dayz,Seulgi,downloads/Better Dayz - Seulgi.wav
Toosie Slide,Drake,downloads/Toosie Slide - Drake.wav
Opp Stoppa (feat. 21 Savage),YBN Nahmir,downloads/Opp Stoppa (feat. 21 Savage) - YBN Nahmir.wav
Mrs. Robinson,"From ""The Graduate"" Soundtrack - Simon & Garfunkel","downloads/Mrs. Robinson - From ""The Graduate"" Soundtrack - Simon & Garfunkel.wav"
Void,The Neighbourhood,downloads/Void - The Neighbourhood.wav
Who Am I (What’s My Name)?,Snoop Dogg,downloads/Who Am I (What’s My Name)? - Snoop Dogg.wav
Smile,Lily Allen,downloads/Smile - Lily Allen.wav
I Wanna Love You,Akon,downloads/I Wanna Love You - Akon.wav
The Downfall of Us All,A Day to Remember,downloads/The Downfall of Us All - A Day to Remember.wav
Master of Puppets,Metallica,downloads/Master of Puppets - Metallica.wav
wutiwant,saraunh0ly,downloads/wutiwant - saraunh0ly.wav
You,Radiohead,downloads/You - Radiohead.wav
La Tortura (feat. Alejandro Sanz),Shakira,downloads/La Tortura (feat. Alejandro Sanz) - Shakira.wav
did i tell u that i miss u,Adore,downloads/did i tell u that i miss u - Adore.wav
You Belong With Me (Taylor’s Version),Taylor Swift,downloads/You Belong With Me (Taylor’s Version) - Taylor Swift.wav
134340,BTS,downloads/134340 - BTS.wav
Headshots (4r Da Locals),Isaiah Rashad,downloads/Headshots (4r Da Locals) - Isaiah Rashad.wav
robbery,Juice WRLD,downloads/robbery - Juice WRLD.wav
antidote,Orion Sun,downloads/antidote - Orion Sun.wav
しかばねの踊り,Kikuo,downloads/しかばねの踊り - Kikuo.wav
California,Chappell Roan,downloads/California - Chappell Roan.wav
psychO,Red Velvet,downloads/psychO - Red Velvet.wav
Deep End,SpiritBox,downloads/Deep End - SpiritBox.wav
Cherry Wine,grentperez,downloads/Cherry Wine - grentperez.wav
Buttons,The Pussycat Dolls,downloads/Buttons - The Pussycat Dolls.wav
Timeless (Taylor’s Version) (From The Vault),Taylor Swift,downloads/Timeless (Taylor’s Version) (From The Vault) - Taylor Swift.wav
7,Catfish and The Bottlemen,downloads/7 - Catfish and The Bottlemen.wav
My Girl,The Temptations,downloads/My Girl - The Temptations.wav
Sweet Child o' Mine,Guns N' Roses,downloads/Sweet Child o' Mine - Guns N' Roses.wav
Somebody to You,The Vamps,downloads/Somebody to You - The Vamps.wav
DOGTOOTH,"Tyler, the Creator","downloads/DOGTOOTH - Tyler, the Creator.wav"
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,downloads/Alibi (with Pabllo Vittar & Yseult) - Sevdaliza.wav
Hell N Back (feat. Summer Walker),Bakar,downloads/Hell N Back (feat. Summer Walker) - Bakar.wav
My Shit,A BOOGIE WIT DA HOODIE,downloads/My Shit - A BOOGIE WIT DA HOODIE.wav
Pitch the Baby,Cocteau Twins,downloads/Pitch the Baby - Cocteau Twins.wav
It Wasn't Me,Shaggy,downloads/It Wasn't Me - Shaggy.wav
Take Me to Church,Hozier,downloads/Take Me to Church - Hozier.wav
Symphony (feat. Zara Larsson),Clean Bandit,downloads/Symphony (feat. Zara Larsson) - Clean Bandit.wav
Shotgun,George Ezra,downloads/Shotgun - George Ezra.wav
Suga Suga,Baby Bash,downloads/Suga Suga - Baby Bash.wav
FACE,BROCKHAMPTON,downloads/FACE - BROCKHAMPTON.wav
Gold Dust Woman,2004 Remaster - Fleetwood Mac,downloads/Gold Dust Woman - 2004 Remaster - Fleetwood Mac.wav
Dsco,Sweet Trip,downloads/Dsco - Sweet Trip.wav
Oh Qué Será?,Willie Colón,downloads/Oh Qué Será? - Willie Colón.wav
Wonderful,Travis Scott,downloads/Wonderful - Travis Scott.wav
She's Always a Woman,Billy Joel,downloads/She's Always a Woman - Billy Joel.wav
Enséñame a Bailar,Bad Bunny,downloads/Enséñame a Bailar - Bad Bunny.wav
CBZ (Prime time),BSS,downloads/CBZ (Prime time) - BSS.wav
Break from Toronto,PARTYNEXTDOOR,downloads/Break from Toronto - PARTYNEXTDOOR.wav
The Boys,Girls' Generation,downloads/The Boys - Girls' Generation.wav
check,bbno$,downloads/check - bbno$.wav
Unchained Melody,The Righteous Brothers,downloads/Unchained Melody - The Righteous Brothers.wav
Bored!,NINGNING Solo - aespa,downloads/Bored! - NINGNING Solo - aespa.wav
I Miss the Misery,Halestorm,downloads/I Miss the Misery - Halestorm.wav
All My Loving,Remastered 2009 - The Beatles,downloads/All My Loving - Remastered 2009 - The Beatles.wav
Paranoid,Kanye West,downloads/Paranoid - Kanye West.wav
Waltz #2 (XO),Elliott Smith,downloads/Waltz #2 (XO) - Elliott Smith.wav
Campus,Vampire Weekend,downloads/Campus - Vampire Weekend.wav
i wonder... (with Jung Kook of BTS),J-Hope,downloads/i wonder... (with Jung Kook of BTS) - J-Hope.wav
Too Good,Drake,downloads/Too Good - Drake.wav
Train Wreck,James Arthur,downloads/Train Wreck - James Arthur.wav
Solo Steppin Crete Boy,Lil Yachty,downloads/Solo Steppin Crete Boy - Lil Yachty.wav
Go Stupid,Polo G,downloads/Go Stupid - Polo G.wav
Apple,Charli XCX,downloads/Apple - Charli XCX.wav
BABY I'M BACK,The Kid Laroi,downloads/BABY I'M BACK - The Kid Laroi.wav
Roygbiv,Boards of Canada,downloads/Roygbiv - Boards of Canada.wav
Last Friday Night (T.G.I.F.),Katy Perry,downloads/Last Friday Night (T.G.I.F.) - Katy Perry.wav
Silkk da Shocka (feat. Syd),Isaiah Rashad,downloads/Silkk da Shocka (feat. Syd) - Isaiah Rashad.wav
Left & Right,Seventeen,downloads/Left & Right - Seventeen.wav
Dial Tone,Catch Your Breath,downloads/Dial Tone - Catch Your Breath.wav
Way 2 Sexy (with Future & Young Thug),Drake,downloads/Way 2 Sexy (with Future & Young Thug) - Drake.wav
Make Me Bad,Korn,downloads/Make Me Bad - Korn.wav
Istanbul (Not Constantinople),They Might Be Giants,downloads/Istanbul (Not Constantinople) - They Might Be Giants.wav
Blinding Lights,The Weeknd,downloads/Blinding Lights - The Weeknd.wav
Party Monster,The Weeknd,downloads/Party Monster - The Weeknd.wav
Hampstead,Ariana Grande,downloads/Hampstead - Ariana Grande.wav
光るなら,Goose house,downloads/光るなら - Goose house.wav
The Way I Am,Eminem,downloads/The Way I Am - Eminem.wav
Hurts Me,Tory Lanez,downloads/Hurts Me - Tory Lanez.wav
LALISA,Lisa,downloads/LALISA - Lisa.wav
Venus as a Boy,Björk,downloads/Venus as a Boy - Björk.wav
no time to die,Billie Eilish,downloads/no time to die - Billie Eilish.wav
Figure.09,Linkin Park,downloads/Figure.09 - Linkin Park.wav
Jonathan,AdriAnne Lenker,downloads/Jonathan - AdriAnne Lenker.wav
For Once in My Life,Stevie Wonder,downloads/For Once in My Life - Stevie Wonder.wav
Age of Consent,2015 Remaster - New Order,downloads/Age of Consent - 2015 Remaster - New Order.wav
Jump the Turnstile,Jordana,downloads/Jump the Turnstile - Jordana.wav
For Free?,Interlude - Kendrick Lamar,downloads/For Free? - Interlude - Kendrick Lamar.wav
Ghost,Justin Bieber,downloads/Ghost - Justin Bieber.wav
Human Nature,Michael Jackson,downloads/Human Nature - Michael Jackson.wav
So Anxious,Ginuwine,downloads/So Anxious - Ginuwine.wav
past life,Ariana Grande,downloads/past life - Ariana Grande.wav
LeJos De Ti,The Marías,downloads/LeJos De Ti - The Marías.wav
Popular,Ariana Grande,downloads/Popular - Ariana Grande.wav
Outfit (with 21 Savage),Lil Baby,downloads/Outfit (with 21 Savage) - Lil Baby.wav
Never Let Me Go,Florence + the Machine,downloads/Never Let Me Go - Florence + the Machine.wav
One Thing,One Direction,downloads/One Thing - One Direction.wav
People Pt.2 (feat. IU),Agust D,downloads/People Pt.2 (feat. IU) - Agust D.wav
Walls Could Talk,Halsey,downloads/Walls Could Talk - Halsey.wav
Bad Boy,Red Velvet,downloads/Bad Boy - Red Velvet.wav
Girl Feels Good,FKA twigs,downloads/Girl Feels Good - FKA twigs.wav
Água De Beber,Astrud Gilberto,downloads/Água De Beber - Astrud Gilberto.wav
Still With You,Jung Kook,downloads/Still With You - Jung Kook.wav
"mas, que nada!",Jorge Ben Jor,"downloads/mas, que nada! - Jorge Ben Jor.wav"
悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,downloads/悲しみがとまらない　I CAN'T STOP THE LONELINESS - Anri.wav
Iris,Pastel Ghost,downloads/Iris - Pastel Ghost.wav
Moon 2,Men I Trust,downloads/Moon 2 - Men I Trust.wav
Rockstar Made,Playboi Carti,downloads/Rockstar Made - Playboi Carti.wav
Happiness Is A Warm Gun,Remastered 2009 - The Beatles,downloads/Happiness Is A Warm Gun - Remastered 2009 - The Beatles.wav
Let's Dance,2018 Remaster - David Bowie,downloads/Let's Dance - 2018 Remaster - David Bowie.wav
Stubborn Love,The Lumineers,downloads/Stubborn Love - The Lumineers.wav
My Finest Hour,The Sundays,downloads/My Finest Hour - The Sundays.wav
Gang Over Luv,Brent Faiyaz,downloads/Gang Over Luv - Brent Faiyaz.wav
Talk Show Host,Radiohead,downloads/Talk Show Host - Radiohead.wav
High Fashion (feat. Mustard),Roddy Ricch,downloads/High Fashion (feat. Mustard) - Roddy Ricch.wav
Centuries,Fall Out Boy,downloads/Centuries - Fall Out Boy.wav
Don’t Wanna Cry,Selena Gomez,downloads/Don’t Wanna Cry - Selena Gomez.wav
CCF (I'm Gonna Stay With You),Car Seat Headrest,downloads/CCF (I'm Gonna Stay With You) - Car Seat Headrest.wav
Never Catch Me,Flying Lotus,downloads/Never Catch Me - Flying Lotus.wav
LoveGame,Lady Gaga,downloads/LoveGame - Lady Gaga.wav
Where I Be,Lucki,downloads/Where I Be - Lucki.wav
Drive Slow,Kanye West,downloads/Drive Slow - Kanye West.wav
California,beabadoobee,downloads/California - beabadoobee.wav
Tom Sawyer,Rush,downloads/Tom Sawyer - Rush.wav
Spirit In The Sky,Deluxe Edition - Norman Greenbaum,downloads/Spirit In The Sky - Deluxe Edition - Norman Greenbaum.wav
Watch the World Burn,Falling in Reverse,downloads/Watch the World Burn - Falling in Reverse.wav
Kid A,Radiohead,downloads/Kid A - Radiohead.wav
False Confidence,Noah Kahan,downloads/False Confidence - Noah Kahan.wav
RICKY,Denzel Curry,downloads/RICKY - Denzel Curry.wav
Sacrifice,The Weeknd,downloads/Sacrifice - The Weeknd.wav
They Don't Know About Us,One Direction,downloads/They Don't Know About Us - One Direction.wav
RUN2U,STAYC,downloads/RUN2U - STAYC.wav
Levels,Radio Edit - Avicii,downloads/Levels - Radio Edit - Avicii.wav
Lean Wit Me,Juice WRLD,downloads/Lean Wit Me - Juice WRLD.wav
"Boom, Boom, Boom, Boom!!",Vengaboys,"downloads/Boom, Boom, Boom, Boom!! - Vengaboys.wav"
P.O.P (Piece Of Peace) Pt. 1,J-Hope,downloads/P.O.P (Piece Of Peace) Pt. 1 - J-Hope.wav
So What,BTS,downloads/So What - BTS.wav
4x4,Travis Scott,downloads/4x4 - Travis Scott.wav
Polly,Nirvana,downloads/Polly - Nirvana.wav
mAD woMAn,Taylor Swift,downloads/mAD woMAn - Taylor Swift.wav
Pour It Up,Rihanna,downloads/Pour It Up - Rihanna.wav
Time Moves Slow,BADBADNOTGOOD,downloads/Time Moves Slow - BADBADNOTGOOD.wav
Charlie's Inferno,That Handsome Devil,downloads/Charlie's Inferno - That Handsome Devil.wav
No Control,One Direction,downloads/No Control - One Direction.wav
Better,Khalid,downloads/Better - Khalid.wav
How Long,Charlie Puth,downloads/How Long - Charlie Puth.wav
Love Songs,Bonus - Kaash Paige,downloads/Love Songs - Bonus - Kaash Paige.wav
Poppin,yeat,downloads/Poppin - yeat.wav
The Grinch,Trippie Redd,downloads/The Grinch - Trippie Redd.wav
Chaos Space Marine,"Black Country, New Road","downloads/Chaos Space Marine - Black Country, New Road.wav"
Bombtrack,Rage Against the Machine,downloads/Bombtrack - Rage Against the Machine.wav
Sunday Morning,Maroon 5,downloads/Sunday Morning - Maroon 5.wav
Geyser,Mitski,downloads/Geyser - Mitski.wav
The Moon,The Microphones,downloads/The Moon - The Microphones.wav
Chroma Drift,PLAVE,downloads/Chroma Drift - PLAVE.wav
Marlboro Nights,Lonely God,downloads/Marlboro Nights - Lonely God.wav
Sulk,Radiohead,downloads/Sulk - Radiohead.wav
Place,Playboi Carti,downloads/Place - Playboi Carti.wav
Ride The Wave,SpiritBox,downloads/Ride The Wave - SpiritBox.wav
The Final Countdown,Europe,downloads/The Final Countdown - Europe.wav
The Thing,Pixies,downloads/The Thing - Pixies.wav
Drop It Like It's Hot,Snoop Dogg,downloads/Drop It Like It's Hot - Snoop Dogg.wav
LET ME SEE YA MOVE!,Lumi Athena,downloads/LET ME SEE YA MOVE! - Lumi Athena.wav
still feel.,half•alive,downloads/still feel. - half•alive.wav
a última dança,Link do Zap,downloads/a última dança - Link do Zap.wav
No Air (feat. Chris Brown),Jordin Sparks,downloads/No Air (feat. Chris Brown) - Jordin Sparks.wav
Lay All Your Love on Me,ABBA,downloads/Lay All Your Love on Me - ABBA.wav
Grandfather Please Stand on the Shoulders of My Father While He's Deep-Sea Fishing (feat. RIOPY),Lana Del Rey,downloads/Grandfather Please Stand on the Shoulders of My Father While He's Deep-Sea Fishing (feat. RIOPY) - Lana Del Rey.wav
Crave,Paramore,downloads/Crave - Paramore.wav
Shampoo Bottles,Peach Pit,downloads/Shampoo Bottles - Peach Pit.wav
Arcadia,Lana Del Rey,downloads/Arcadia - Lana Del Rey.wav
She Hates Me,Puddle of Mudd,downloads/She Hates Me - Puddle of Mudd.wav
NASTYWERKKKK!,femtanyl,downloads/NASTYWERKKKK! - femtanyl.wav
favorite crime,Olivia Rodrigo,downloads/favorite crime - Olivia Rodrigo.wav
Don't Stop the Music,Rihanna,downloads/Don't Stop the Music - Rihanna.wav
Sunday (feat. Frank Ocean),Earl Sweatshirt,downloads/Sunday (feat. Frank Ocean) - Earl Sweatshirt.wav
Dragonball Durag,Thundercat,downloads/Dragonball Durag - Thundercat.wav
let u go,LucidBeatz,downloads/let u go - LucidBeatz.wav
Addicted to You,Avicii,downloads/Addicted to You - Avicii.wav
Human,The Killers,downloads/Human - The Killers.wav
Love Language,SZA,downloads/Love Language - SZA.wav
Mr. Right Now (feat. Drake),21 Savage,downloads/Mr. Right Now (feat. Drake) - 21 Savage.wav
Heartbreak Anniversary,GIVĒON,downloads/Heartbreak Anniversary - GIVĒON.wav
Suffocation,Crystal Castles,downloads/Suffocation - Crystal Castles.wav
Pizza Time,Che,downloads/Pizza Time - Che.wav
LEMON GLOW,Beach House,downloads/LEMON GLOW - Beach House.wav
How You Remind Me,Nickelback,downloads/How You Remind Me - Nickelback.wav
Poetic Justice,Kendrick Lamar,downloads/Poetic Justice - Kendrick Lamar.wav
X's,Cigarettes After Sex,downloads/X's - Cigarettes After Sex.wav
Silly Watch,LIL UZI VERT,downloads/Silly Watch - LIL UZI VERT.wav
Sexy and I Know It,LMFAO,downloads/Sexy and I Know It - LMFAO.wav
Huit octobre 1971,Cortex,downloads/Huit octobre 1971 - Cortex.wav
Strange (feat. RM),Agust D,downloads/Strange (feat. RM) - Agust D.wav
Blank Space (Taylor's Version),Taylor Swift,downloads/Blank Space (Taylor's Version) - Taylor Swift.wav
Psychoboost feat danny brown,Jane Remover,downloads/Psychoboost feat danny brown - Jane Remover.wav
Crystalised,The xx,downloads/Crystalised - The xx.wav
Who are you?,Saga Faye,downloads/Who are you? - Saga Faye.wav
Oxytocin,Billie Eilish,downloads/Oxytocin - Billie Eilish.wav
The Only Thing,Sufjan Stevens,downloads/The Only Thing - Sufjan Stevens.wav
Car Radio,Twenty One Pilots,downloads/Car Radio - Twenty One Pilots.wav
Common People,Full Length Version - Pulp,downloads/Common People - Full Length Version - Pulp.wav
Buddy Holly,Weezer,downloads/Buddy Holly - Weezer.wav
Possibly Maybe,Björk,downloads/Possibly Maybe - Björk.wav
"Paint It, Black",The Rolling Stones,"downloads/Paint It, Black - The Rolling Stones.wav"
Here Comes a Thought (feat. Estelle & AJ Michalka),Steven Universe,downloads/Here Comes a Thought (feat. Estelle & AJ Michalka) - Steven Universe.wav
Here,Alessia Cara,downloads/Here - Alessia Cara.wav
Lovefool,The Cardigans,downloads/Lovefool - The Cardigans.wav
B.E.D.,Jacquees,downloads/B.E.D. - Jacquees.wav
Somebody That I Used To Know,Gotye,downloads/Somebody That I Used To Know - Gotye.wav
Snowchild,The Weeknd,downloads/Snowchild - The Weeknd.wav
Outside Today,YoungBoy Never Broke Again,downloads/Outside Today - YoungBoy Never Broke Again.wav
The Race,Tay-K,downloads/The Race - Tay-K.wav
Disco Tits,Tove Lo,downloads/Disco Tits - Tove Lo.wav
