song name,artist,wav file location
No More Dream,BTS,downloads/No More Dream - BTS.wav
Human Behaviour,Björk,downloads/Human Behaviour - Björk.wav
Pyramids,Frank Ocean,downloads/Pyramids - Frank Ocean.wav
A Year Without Rain,Selena Gomez & the Scene,downloads/A Year Without Rain - Selena Gomez & the Scene.wav
Sail to the Moon,Radiohead,downloads/Sail to the Moon - Radiohead.wav
Courtship Dating,Crystal Castles,downloads/Courtship Dating - Crystal Castles.wav
Big Iron,Marty Robbins,downloads/Big Iron - Marty Robbins.wav
The Marvelous Orange Tree,Deafheaven,downloads/The Marvelous Orange Tree - Deafheaven.wav
Have a Cigar,Pink Floyd,downloads/Have a Cigar - Pink Floyd.wav
YUKON (INTERLUDE),Joji,downloads/YUKON (INTERLUDE) - Joji.wav
Still Don't Know My Name,Labrinth,downloads/Still Don't Know My Name - Labrinth.wav
Anti-Hero,Taylor Swift,downloads/Anti-Hero - Taylor Swift.wav
The Man In Me,Bob Dylan,downloads/The Man In Me - Bob Dylan.wav
Rainy Days,V,downloads/Rainy Days - V.wav
Hunger,Mike,downloads/Hunger - Mike.wav
It's My Life,Bon Jovi,downloads/It's My Life - Bon Jovi.wav
Drown,Bring Me the Horizon,downloads/Drown - Bring Me the Horizon.wav
Monster,Jorge Rivera-Herrans,downloads/Monster - Jorge Rivera-Herrans.wav
FourFiveSeconds,Rihanna,downloads/FourFiveSeconds - Rihanna.wav
MONA LISA (Band Remix),J-Hope,downloads/MONA LISA (Band Remix) - J-Hope.wav
Pink in the Night,Mitski,downloads/Pink in the Night - Mitski.wav
Desesperados,Rauw Alejandro,downloads/Desesperados - Rauw Alejandro.wav
Neon Guts (feat. Pharrell Williams),LIL UZI VERT,downloads/Neon Guts (feat. Pharrell Williams) - LIL UZI VERT.wav
LOVELY BASTARDS,ZWE1HVNDXR,downloads/LOVELY BASTARDS - ZWE1HVNDXR.wav
Nobody's Business,Rihanna,downloads/Nobody's Business - Rihanna.wav
Layla,Derek & The Dominos,downloads/Layla - Derek & The Dominos.wav
Constant Headache,Joyce Manor,downloads/Constant Headache - Joyce Manor.wav
Bloody Mary,Lady Gaga,downloads/Bloody Mary - Lady Gaga.wav
Falling Away From Me,Korn,downloads/Falling Away From Me - Korn.wav
ALL UP IN YOUR MIND,Beyoncé,downloads/ALL UP IN YOUR MIND - Beyoncé.wav
Suite-Pee,System of a Down,downloads/Suite-Pee - System of a Down.wav
Fernando,ABBA,downloads/Fernando - ABBA.wav
I'm a Believer,2006 Remaster - The Monkees,downloads/I'm a Believer - 2006 Remaster - The Monkees.wav
SHIvers,Ed Sheeran,downloads/SHIvers - Ed Sheeran.wav
